,vi,pi,ql
0,0.41451121261388796,0.4146273614889347,0.3678492715461653
1,0.4270842873904742,0.4271930477251794,0.3939313569289935
2,0.44603895453261555,0.4461372249069135,0.41853060519501384
3,0.46822341741939927,0.4683106109018335,0.4496109107023596
4,0.4923584142827771,0.492435126449234,0.4960848286329497
5,0.5164938736588038,0.5165621828343928,0.5348493185900963
6,0.5351886711166278,0.5352541815987666,0.5565252906219571
7,0.5409034965830835,0.5409679971407779,0.570224432784535
8,0.4115552231393629,0.41167321646555405,0.347002678859853
9,0.4210829256378887,0.4211952575130396,0.3757365840421962
10,0.4373810853361458,0.43748418162833685,0.4056762212736166
11,0.4582861138669147,0.4583782424591969,0.43493320947157016
12,0.4831509171522658,0.4832311529495658,0.4694600432275191
13,0.5134575384734303,0.513524301566897,0.5307186534368241
14,0.5456985247168737,0.545760878337991,0.5698242540332161
15,0.5573012467296395,0.5573616447309656,0.5968152617768132
16,0.3966183213683954,0.3967386232819262,0.33753900567909895
17,0.39371271930926455,0.3938276769942372,0.34195513123405136
18,0.3753796039491624,0.3754845304321811,0.30802054614203705
19,0.0,0.0,0.0
20,0.4216023405844375,0.4216703730683034,0.39006992390542855
21,0.49374650767149036,0.49381188777381096,0.5096834503044765
22,0.5611484861092632,0.5612056725388526,0.6008901708538033
23,0.5857981919916926,0.5858527927961397,0.6353545686312683
24,0.3691398103208651,0.36925894475949167,0.2642906590166226
25,0.35285979494286346,0.3529701833271653,0.2586339448649959
26,0.3064311036670175,0.3065211545795258,0.17658365042699053
27,0.2003491065980678,0.20039821628743973,0.0
28,0.3006925289958364,0.30074668373497915,0.17169418958917715
29,0.0,0.0,0.0
30,0.5689592124445879,0.5690101801025426,0.6190317129751
31,0.6282050595670393,0.6282536019154089,0.698245017141235
32,0.3324650515626767,0.3326438363074146,0.20138759456279598
33,0.29123833766030327,0.2913615402411634,0.15689374211689813
34,0.19722841545070216,0.19730103701489599,0.0
35,0.0,0.0,0.0
36,0.2892436884689871,0.2892855671110247,0.1864714020165684
37,0.3619088360777689,0.3619474767213057,0.2790945567539909
38,0.5347706016411948,0.5348145343624037,0.5621995031460214
39,0.6896535128605347,0.6896929092098875,0.7679487451604733
40,0.30588360856300734,0.30611073194969496,0.18637776867936676
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.08625515622800242,0.0862742458464933,0.0
44,0.21389903127737758,0.21392921075511473,0.10292573701397084
45,0.27268318555842164,0.2727108405103244,0.13089766867402913
46,0.0,0.0,0.0
47,0.7720046712233447,0.7720324157301287,0.8718806027076347
48,0.28859498451371807,0.2888561140278231,0.1727595589670833
49,0.0,0.0,0.0
50,0.05763303886442364,0.05768996663133347,0.0
51,0.047482217161006327,0.04750809956124217,0.0
52,0.0,0.0,0.0
53,0.25050770157210084,0.25052008998957315,0.0
54,0.0,0.0,0.0
55,0.87775280763035,0.877767135561554,1.0
56,0.28007879840844957,0.28035747850729575,0.16475556272101877
57,0.20057377736191184,0.20079060007770141,0.1027630115980933
58,0.12716926517338298,0.1273105852714034,0.057254073986854004
59,0.0,0.0,0.0
60,0.23958585340247118,0.23959035821331837,0.0
61,0.486432354149348,0.4864410777333221,0.4852999705202594
62,0.7370982912134164,0.7371027960242635,1.0
63,0.0,0.0,0.0
